Review #,Brand,Variety,Style,Country,Stars,Top Ten
107,Ottogi,Pow Crunch Teriyaki,Pack,South Korea,1.1,
106,GreeNoodle,Tom Yum,Pack,Thailand,0.5,
105,Indomie,Special Fried Curly Noodle,Pack,Indonesia,5,2012 #1
104,Maruchan,Ramen Noodle Soup Chicken,Pack,USA,2,
103,Ve Wong,Vegetarian Flavor,Pack,Taiwan,3,
102,Indomie,Soto Mie,Pack,Indonesia,1.5,
101,Ve Wong,Artificial Sesame Chicken,Pack,Taiwan,4.25,
100,Unif / Tung-I,Artificial Chinese Beef,Pack,Taiwan,2.85,
99,Ve Wong,Kung Fu Artificial Onion,Pack,Taiwan,2.75,
98,Unif / Tung-I,Chah Chiang,Pack,Taiwan,2.5,
97,Saigon Ve Wong,Kung Fu Mi Tom Chua Sour Shrimp,Pack,Vietnam,2.5,
96,Saigon Ve Wong,Kung Fu Artificial Pork Flavor,Pack,Vietnam,3.75,
95,Wei Lih,Artificial Beef Flavor,Pack,Taiwan,1,
94,Mama,Artificial Chicken,Pack,Thailand,2.5,
93,Payless,Xtra Big Original Pancit Canton,Pack,Philippines,4.5,
92,Fashion Food,Tom Yum Seafood Creamy,Bowl,Thailand,2,
91,Binh Tay,Mi Chay Mushroom,Pack,Vietnam,2.75,
90,Long Kow,Crystal Noodle Six Kinds Of Mushrooms,Pack,China,2.3,
89,Unif,100 Artificial Stewed Pork Chop,Pack,Taiwan,3.2,
88,Paldo,South Korean Noodle Chicken,Pack,South Korea,3.25,
87,Wai Wai,Tom Yum Shrimp Cream Soup,Pack,Thailand,2.75,
86,Unif / Tung-I,Onion Flavor,Pack,Taiwan,3.65,
85,Nissin,Demae Ramen Sesame,Pack,Japan,3.75,
84,Samyang,Kalgug-Su Assorted Clam,Pack,South Korea,1.8,
83,Nissin,Demae Ramen Spicy Flavor,Pack,Japan,2,
82,Nissin,Demae Ramen Miso,Pack,Japan,2.75,
81,Unif / Tung-I,Artificial Spicy Beef,Pack,Taiwan,3.5,
80,Unif / Tung-I,Artificial Chicken,Pack,Taiwan,3.5,
79,Sapporo Ichiban,Kitsune Udon,Pack,Japan,3.25,
78,Nissin,Demae Ramen Seafood,Pack,Japan,2.5,
77,Nissin,Demae Ramen Prawn,Pack,Japan,3.25,
76,Indomie,Meatball Flavor,Pack,Indonesia,2.5,
75,Indomie,Mi Goreng Rendang,Pack,Indonesia,4.5,
74,Nissin,Demae Ramen Shoyu,Pack,Japan,4,
73,Nissin,Demae Ramen Five Spices Artificial Beef,Pack,Japan,3.5,
72,Nissin,Demae Ramen Tonkatsu Artificial Pork,Pack,Japan,3.5,
71,Nissin,Demae Ramen Satay,Pack,Japan,2.5,
70,Nissin,Demae Ramen XO Sauce Seafood,Pack,Japan,4,
69,Baijia,Spicy Fei- Chang Sweet Potato Noodle,Pack,China,1.75,
68,Wei Lih,Jah Jan Mien Instant Noodle With Fried Soybean Paste,Pack,Taiwan,4,
67,Maruchan,Ramen Noodle Soup Lime Chili Shrimp,Pack,USA,2,
66,Maruchan,Ramen Noodle Soup Pork,Pack,USA,4,
65,Nissin,Top Ramen Oriental,Pack,USA,2.5,
64,Sapporo Ichiban,Chicken Flavor,Pack,USA,3.5,
63,Nissin,Souper Meal Chicken Flavor With Vegetable Medley,Bowl,Japan,3,
62,Maggi,Rice Noodle Mania Lemon Masala,Pack,India,1.5,
61,Maggi,2 Minute Noodles Curry,Pack,India,2.5,
60,Maggi,Vegetable Atta Noodles Masala,Pack,India,2,
59,Maggi,Chinese Noodles Lemon Chicken Flavor,Pack,India,3.5,
58,Ve Wong,A-One Bun Tom Shrimp,Pack,Taiwan,3,
57,Doll,Instant Fried Noodles With Chili Sauce,Tray,Hong Kong,3,
56,Doll,Instant Noodles With Sesame Oil & Soup Base,Pack,Hong Kong,1,
55,Hua Feng Noodle Expert,Favoury Pork Flavor,Pack,China,1,
54,Hua Feng Noodle Expert,Spicy Seafood Flavor,Pack,China,3,
53,Indomie,Chicken,Cup,Indonesia,2,
52,Indomie,Chicken Curry,Pack,Indonesia,4,
51,Indomie,Curly Noodles With Grilled Chicken,Pack,Indonesia,5,
50,Indomie,Mi Goreng,Pack,Indonesia,5,
49,Indomie,Mi Goreng Pedas Hot,Pack,Indonesia,4.5,
48,Indomie,Shrimp Flavor,Pack,Indonesia,3,
47,Indomie,Mi Goreng Jumbo Barbecue Chicken,Pack,Indonesia,5,2012 #2
46,Indomie,Mi Goreng Jumbo Meatball,Pack,Indonesia,3,
45,Indomie,Mi Goreng Sate,Pack,Indonesia,5,"
"
44,Indomie,Special Chicken,Pack,Indonesia,4.25,
43,Kim Ve Wong,Jaopai Series: Vegetarian Instant Noodles,Bowl,Taiwan,0,
42,Ve Wong,Kung-Fu Chicken Flavor,Pack,Vietnam,2.75,
41,Little Cook,Pork Mustard Stem,Bowl,Thailand,0.5,
40,Lucky Me!,Pancit Canton Chili Mansi,Pack,Philippines,3,
39,Lucky Me!,Supreme Bulalo Flavor,Bowl,Philippines,3,
38,Lucky Me!,Pancit Canton Citrus Flavor,Pack,Philippines,3,
37,Lucky Me!,Pancit Canton Hot Chili Flavor,Pack,Philippines,3,
36,Lucky Me!,Itnok,Pack,Philippines,3,
35,Mama,Chand Clear Soup,Pack,Thailand,3,
34,Maruchan,Ramen Noodle Soup Shrimp,Pack,USA,2,
33,Koka,Mi Hai Tom Prawn,Pack,Singapore,3.75,
32,Koka,Mi Hai Cua Crab Flavor,Pack,Singapore,3.5,
31,Myojo,Ippeichan Yakisoba,Tray,Japan,4,2013 #6
30,Myojo,Special Duck,Pack,Japan,1,
29,Mee Jang,Tom Yum Shrimp,Bowl,Thailand,3.5,
28,Nissin,Chikin Ramen,Pack,Japan,5,
27,Nissin,Demae Ramen Curry Flavor,Pack,Japan,4,
26,Nissin,Soba Noodles With Mayo Mustard Squirt,Pack,Japan,4,
25,Nissin,Demae Ramen Spicy Flavor,Pack,Japan,3,
24,Nissin,Demae Ramen Spicy Seafood With Chili Pepper,Pack,Japan,2,
23,Nissin,Top Ramen Creamy Chicken,Pack,USA,4.5,
22,Nongshim,Ansungtangmyun Noodle Soup,Pack,South Korea,3.75,
21,Nongshim,Champong Oriental Noodles,Pack,South Korea,4,
20,Nongshim,Neoguri (Seafood'n'Spicy),Pack,South Korea,3.5,
19,Nongshim,Shin Ramyun,Pack,South Korea,4,
18,Ottogi,Jin Ramen (Hot Taste),Pack,South Korea,3.5,
17,Quickchow,Pancit Palabok,Pack,Philippines,2.5,
16,Samyang,Kalgug-Su (Spicy),Pack,South Korea,3.5,
15,Samyang,Pojangmacha U-dong,Pack,South Korea,2.5,
14,Samyang,Hot,Pack,South Korea,3.5,
13,Sapporo Ichiban,Chow Mein,Pack,Japan,5,2012 #4
12,Sapporo Ichiban,Shrimp Flavor,Pack,Japan,2.5,
11,Six Fortune,Chicken Flavor Instant Soup Noodle,Pack,South Korea,2,
10,Smack,Vegetable Beef,Pack,USA,1.5,
9,Sutah,Cup Noodle,Cup,South Korea,2,
8,Tung-I,Chinese Beef Instant Rice Noodle,Pack,Taiwan,3,
7,Ve Wong,Mushroom Pork,Pack,Vietnam,1,
6,Vifon,Nam Vang,Pack,Vietnam,2.5,
5,Vifon,"Hu Tiu Nam Vang [""Phnom Penh"" style] Asian Style Instant Rice Noodles",Bowl,Vietnam,3.5,
4,Wai Wai,Oriental Style Instant Noodles,Pack,Thailand,1,
3,Wai Wai,Tom Yum Shrimp,Pack,Thailand,2,
2,Wai Wai,Tom Yum Chili Flavor,Pack,Thailand,2,
1,Westbrae,Miso Ramen,Pack,USA,0.5,
